model_name,model_url,model_task,model_category,readme_path
CurtisBowser/DialoGPT-medium-sora-two,https://huggingface.co/CurtisBowser/DialoGPT-medium-sora-two,conversational,natural-language-processing,./model_cards/_noArch/CurtisBowser_DialoGPT-medium-sora-two_README.md
DJSammy/bert-base-danish-uncased_BotXO-ai,https://huggingface.co/DJSammy/bert-base-danish-uncased_BotXO-ai,fill-mask,natural-language-processing,./model_cards/_noArch/DJSammy_bert-base-danish-uncased_BotXO-ai_README.md
DataikuNLP/average_word_embeddings_glove.6B.300d,https://huggingface.co/DataikuNLP/average_word_embeddings_glove.6B.300d,sentence-similarity,natural-language-processing,./model_cards/_noArch/DataikuNLP_average_word_embeddings_glove.6B.300d_README.md
Daymarebait/Discord_BOT_RICK,https://huggingface.co/Daymarebait/Discord_BOT_RICK,conversational,natural-language-processing,./model_cards/_noArch/Daymarebait_Discord_BOT_RICK_README.md
DewiBrynJones/wav2vec2-large-xlsr-welsh,https://huggingface.co/DewiBrynJones/wav2vec2-large-xlsr-welsh,automatic-speech-recognition,audio,./model_cards/_noArch/DewiBrynJones_wav2vec2-large-xlsr-welsh_README.md
DrishtiSharma/wav2vec2-large-xls-r-300m-as-with-LM-v2,https://huggingface.co/DrishtiSharma/wav2vec2-large-xls-r-300m-as-with-LM-v2,automatic-speech-recognition,audio,./model_cards/_noArch/DrishtiSharma_wav2vec2-large-xls-r-300m-as-with-LM-v2_README.md
Fhrozen/test_an4,https://huggingface.co/Fhrozen/test_an4,automatic-speech-recognition,audio,./model_cards/_noArch/Fhrozen_test_an4_README.md
Gastron/lp-initial-aed-short,https://huggingface.co/Gastron/lp-initial-aed-short,automatic-speech-recognition,audio,./model_cards/_noArch/Gastron_lp-initial-aed-short_README.md
Gianpe/en_textcat_emotion_umberto,https://huggingface.co/Gianpe/en_textcat_emotion_umberto,text-classification,natural-language-processing,./model_cards/_noArch/Gianpe_en_textcat_emotion_umberto_README.md
Gianpe/en_textcat_emotion_xlm,https://huggingface.co/Gianpe/en_textcat_emotion_xlm,text-classification,natural-language-processing,./model_cards/_noArch/Gianpe_en_textcat_emotion_xlm_README.md
Gianpe/it_textcat_emotion_umberto,https://huggingface.co/Gianpe/it_textcat_emotion_umberto,text-classification,natural-language-processing,./model_cards/_noArch/Gianpe_it_textcat_emotion_umberto_README.md
GunnarThor/talromur_f_tacotron2,https://huggingface.co/GunnarThor/talromur_f_tacotron2,text-to-speech,audio,./model_cards/_noArch/GunnarThor_talromur_f_tacotron2_README.md
Heldhy/DialoGPT-small-tony,https://huggingface.co/Heldhy/DialoGPT-small-tony,conversational,natural-language-processing,./model_cards/_noArch/Heldhy_DialoGPT-small-tony_README.md
Hellisotherpeople/debate2vec,https://huggingface.co/Hellisotherpeople/debate2vec,text-classification,natural-language-processing,./model_cards/_noArch/Hellisotherpeople_debate2vec_README.md
Huertas97/en_roberta_base_leetspeak_ner,https://huggingface.co/Huertas97/en_roberta_base_leetspeak_ner,token-classification,natural-language-processing,./model_cards/_noArch/Huertas97_en_roberta_base_leetspeak_ner_README.md
Huertas97/es_roberta_base_bne_leetspeak_ner,https://huggingface.co/Huertas97/es_roberta_base_bne_leetspeak_ner,token-classification,natural-language-processing,./model_cards/_noArch/Huertas97_es_roberta_base_bne_leetspeak_ner_README.md
Invincible/DialoGPT-medium-harryPotter,https://huggingface.co/Invincible/DialoGPT-medium-harryPotter,conversational,natural-language-processing,./model_cards/_noArch/Invincible_DialoGPT-medium-harryPotter_README.md
Istiaque190515/Sherlock,https://huggingface.co/Istiaque190515/Sherlock,conversational,natural-language-processing,./model_cards/_noArch/Istiaque190515_Sherlock_README.md
JorisCos/ConvTasNet_Libri1Mix_enhsingle_16k,https://huggingface.co/JorisCos/ConvTasNet_Libri1Mix_enhsingle_16k,audio-to-audio,audio,./model_cards/_noArch/JorisCos_ConvTasNet_Libri1Mix_enhsingle_16k_README.md
JorisCos/ConvTasNet_Libri2Mix_sepclean_16k,https://huggingface.co/JorisCos/ConvTasNet_Libri2Mix_sepclean_16k,audio-to-audio,audio,./model_cards/_noArch/JorisCos_ConvTasNet_Libri2Mix_sepclean_16k_README.md
JorisCos/ConvTasNet_Libri2Mix_sepclean_8k,https://huggingface.co/JorisCos/ConvTasNet_Libri2Mix_sepclean_8k,audio-to-audio,audio,./model_cards/_noArch/JorisCos_ConvTasNet_Libri2Mix_sepclean_8k_README.md
JorisCos/ConvTasNet_Libri2Mix_sepnoisy_16k,https://huggingface.co/JorisCos/ConvTasNet_Libri2Mix_sepnoisy_16k,audio-to-audio,audio,./model_cards/_noArch/JorisCos_ConvTasNet_Libri2Mix_sepnoisy_16k_README.md
JorisCos/ConvTasNet_Libri2Mix_sepnoisy_8k,https://huggingface.co/JorisCos/ConvTasNet_Libri2Mix_sepnoisy_8k,audio-to-audio,audio,./model_cards/_noArch/JorisCos_ConvTasNet_Libri2Mix_sepnoisy_8k_README.md
JorisCos/ConvTasNet_Libri3Mix_sepclean_16k,https://huggingface.co/JorisCos/ConvTasNet_Libri3Mix_sepclean_16k,audio-to-audio,audio,./model_cards/_noArch/JorisCos_ConvTasNet_Libri3Mix_sepclean_16k_README.md
JorisCos/ConvTasNet_Libri3Mix_sepclean_8k,https://huggingface.co/JorisCos/ConvTasNet_Libri3Mix_sepclean_8k,audio-to-audio,audio,./model_cards/_noArch/JorisCos_ConvTasNet_Libri3Mix_sepclean_8k_README.md
JorisCos/ConvTasNet_Libri3Mix_sepnoisy_16k,https://huggingface.co/JorisCos/ConvTasNet_Libri3Mix_sepnoisy_16k,audio-to-audio,audio,./model_cards/_noArch/JorisCos_ConvTasNet_Libri3Mix_sepnoisy_16k_README.md
JorisCos/ConvTasNet_Libri3Mix_sepnoisy_8k,https://huggingface.co/JorisCos/ConvTasNet_Libri3Mix_sepnoisy_8k,audio-to-audio,audio,./model_cards/_noArch/JorisCos_ConvTasNet_Libri3Mix_sepnoisy_8k_README.md
JorisCos/DCCRNet_Libri1Mix_enhsingle_16k,https://huggingface.co/JorisCos/DCCRNet_Libri1Mix_enhsingle_16k,audio-to-audio,audio,./model_cards/_noArch/JorisCos_DCCRNet_Libri1Mix_enhsingle_16k_README.md
JorisCos/DCUNet_Libri1Mix_enhsingle_16k,https://huggingface.co/JorisCos/DCUNet_Libri1Mix_enhsingle_16k,audio-to-audio,audio,./model_cards/_noArch/JorisCos_DCUNet_Libri1Mix_enhsingle_16k_README.md
JorisCos/DPRNNTasNet-ks2_Libri1Mix_enhsingle_16k,https://huggingface.co/JorisCos/DPRNNTasNet-ks2_Libri1Mix_enhsingle_16k,audio-to-audio,audio,./model_cards/_noArch/JorisCos_DPRNNTasNet-ks2_Libri1Mix_enhsingle_16k_README.md
JorisCos/DPTNet_Libri1Mix_enhsingle_16k,https://huggingface.co/JorisCos/DPTNet_Libri1Mix_enhsingle_16k,audio-to-audio,audio,./model_cards/_noArch/JorisCos_DPTNet_Libri1Mix_enhsingle_16k_README.md
KBLab/swedish-spacy-pipeline,https://huggingface.co/KBLab/swedish-spacy-pipeline,token-classification,natural-language-processing,./model_cards/_noArch/KBLab_swedish-spacy-pipeline_README.md
KingCodeSquid/Octavian,https://huggingface.co/KingCodeSquid/Octavian,conversational,natural-language-processing,./model_cards/_noArch/KingCodeSquid_Octavian_README.md
KingCodeSquid/Octavian2,https://huggingface.co/KingCodeSquid/Octavian2,conversational,natural-language-processing,./model_cards/_noArch/KingCodeSquid_Octavian2_README.md
Konggate/DialoGPT-small-harrypotter,https://huggingface.co/Konggate/DialoGPT-small-harrypotter,conversational,natural-language-processing,./model_cards/_noArch/Konggate_DialoGPT-small-harrypotter_README.md
Koro/DialoGPT-small-rickandmorty,https://huggingface.co/Koro/DialoGPT-small-rickandmorty,conversational,natural-language-processing,./model_cards/_noArch/Koro_DialoGPT-small-rickandmorty_README.md
Littlejohn/analisis_sentimientos,https://huggingface.co/Littlejohn/analisis_sentimientos,text-classification,natural-language-processing,./model_cards/_noArch/Littlejohn_analisis_sentimientos_README.md
Mahalakshmi/wav2vec2-large-xlsr-53-demo-colab,https://huggingface.co/Mahalakshmi/wav2vec2-large-xlsr-53-demo-colab,automatic-speech-recognition,audio,./model_cards/_noArch/Mahalakshmi_wav2vec2-large-xlsr-53-demo-colab_README.md
MariamD/my-t5-qa-legal,https://huggingface.co/MariamD/my-t5-qa-legal,question-answering,natural-language-processing,./model_cards/_noArch/MariamD_my-t5-qa-legal_README.md
Mary222/made-ai-dungeon,https://huggingface.co/Mary222/made-ai-dungeon,text-generation,natural-language-processing,./model_cards/_noArch/Mary222_made-ai-dungeon_README.md
MohaAM/en_pipeline,https://huggingface.co/MohaAM/en_pipeline,token-classification,natural-language-processing,./model_cards/_noArch/MohaAM_en_pipeline_README.md
MohamedZaitoon/T5-CNN,https://huggingface.co/MohamedZaitoon/T5-CNN,summarization,natural-language-processing,./model_cards/_noArch/MohamedZaitoon_T5-CNN_README.md
Muennighoff/SBERT-base-msmarco-asym,https://huggingface.co/Muennighoff/SBERT-base-msmarco-asym,sentence-similarity,natural-language-processing,./model_cards/_noArch/Muennighoff_SBERT-base-msmarco-asym_README.md
Muennighoff/SGPT-125M-weightedmean-msmarco-asym,https://huggingface.co/Muennighoff/SGPT-125M-weightedmean-msmarco-asym,sentence-similarity,natural-language-processing,./model_cards/_noArch/Muennighoff_SGPT-125M-weightedmean-msmarco-asym_README.md
N8Daawg/chat_bot,https://huggingface.co/N8Daawg/chat_bot,conversational,natural-language-processing,./model_cards/_noArch/N8Daawg_chat_bot_README.md
NASABOI/MachineLearningAI,https://huggingface.co/NASABOI/MachineLearningAI,conversational,natural-language-processing,./model_cards/_noArch/NASABOI_MachineLearningAI_README.md
Narsil/pet-segmentation,https://huggingface.co/Narsil/pet-segmentation,image-segmentation,computer-vision,./model_cards/_noArch/Narsil_pet-segmentation_README.md
NbAiLab/Wav2Vec-Template,https://huggingface.co/NbAiLab/Wav2Vec-Template,automatic-speech-recognition,audio,./model_cards/_noArch/NbAiLab_Wav2Vec-Template_README.md
NlpHUST/vibert4news-base-cased,https://huggingface.co/NlpHUST/vibert4news-base-cased,fill-mask,natural-language-processing,./model_cards/_noArch/NlpHUST_vibert4news-base-cased_README.md
Obesitycart/ChatBot,https://huggingface.co/Obesitycart/ChatBot,conversational,natural-language-processing,./model_cards/_noArch/Obesitycart_ChatBot_README.md
RTM/ChatBot,https://huggingface.co/RTM/ChatBot,conversational,natural-language-processing,./model_cards/_noArch/RTM_ChatBot_README.md
RTM/Lucky,https://huggingface.co/RTM/Lucky,conversational,natural-language-processing,./model_cards/_noArch/RTM_Lucky_README.md
Riser/YOLOP,https://huggingface.co/Riser/YOLOP,object-detection,computer-vision,./model_cards/_noArch/Riser_YOLOP_README.md
Rostlab/prot_bert,https://huggingface.co/Rostlab/prot_bert,fill-mask,natural-language-processing,./model_cards/_noArch/Rostlab_prot_bert_README.md
Rostlab/prot_bert_bfd,https://huggingface.co/Rostlab/prot_bert_bfd,fill-mask,natural-language-processing,./model_cards/_noArch/Rostlab_prot_bert_bfd_README.md
Sahajtomar/french_semantic,https://huggingface.co/Sahajtomar/french_semantic,sentence-similarity,natural-language-processing,./model_cards/_noArch/Sahajtomar_french_semantic_README.md
SamMorgan/yolo_v4_tflite,https://huggingface.co/SamMorgan/yolo_v4_tflite,object-detection,computer-vision,./model_cards/_noArch/SamMorgan_yolo_v4_tflite_README.md
Sarumomo/DialoGPT-small-test,https://huggingface.co/Sarumomo/DialoGPT-small-test,conversational,natural-language-processing,./model_cards/_noArch/Sarumomo_DialoGPT-small-test_README.md
SauravMaheshkar/rembert-maxseq-384-docstride-128-chaii,https://huggingface.co/SauravMaheshkar/rembert-maxseq-384-docstride-128-chaii,question-answering,natural-language-processing,./model_cards/_noArch/SauravMaheshkar_rembert-maxseq-384-docstride-128-chaii_README.md
SauravMaheshkar/rembert-maxseq-384-docstride-135-chaii,https://huggingface.co/SauravMaheshkar/rembert-maxseq-384-docstride-135-chaii,question-answering,natural-language-processing,./model_cards/_noArch/SauravMaheshkar_rembert-maxseq-384-docstride-135-chaii_README.md
SauravMaheshkar/rembert-maxseq-400-docstride-128-chaii,https://huggingface.co/SauravMaheshkar/rembert-maxseq-400-docstride-128-chaii,question-answering,natural-language-processing,./model_cards/_noArch/SauravMaheshkar_rembert-maxseq-400-docstride-128-chaii_README.md
SauravMaheshkar/rembert-maxseq-400-docstride-135-chaii,https://huggingface.co/SauravMaheshkar/rembert-maxseq-400-docstride-135-chaii,question-answering,natural-language-processing,./model_cards/_noArch/SauravMaheshkar_rembert-maxseq-400-docstride-135-chaii_README.md
Sense-X/uniformer_image,https://huggingface.co/Sense-X/uniformer_image,image-classification,computer-vision,./model_cards/_noArch/Sense-X_uniformer_image_README.md
Sense-X/uniformer_video,https://huggingface.co/Sense-X/uniformer_video,video-classification,computer-vision,./model_cards/_noArch/Sense-X_uniformer_video_README.md
Shavrina/RusEnQA,https://huggingface.co/Shavrina/RusEnQA,text2text-generation,natural-language-processing,./model_cards/_noArch/Shavrina_RusEnQA_README.md
Sherman/DialoGPT-medium-joey,https://huggingface.co/Sherman/DialoGPT-medium-joey,conversational,natural-language-processing,./model_cards/_noArch/Sherman_DialoGPT-medium-joey_README.md
Shiyu/my-repo,https://huggingface.co/Shiyu/my-repo,question-answering,natural-language-processing,./model_cards/_noArch/Shiyu_my-repo_README.md
SilentMyuth/sarcastic-model,https://huggingface.co/SilentMyuth/sarcastic-model,conversational,natural-language-processing,./model_cards/_noArch/SilentMyuth_sarcastic-model_README.md
SonMooSans/DialoGPT-small-joshua,https://huggingface.co/SonMooSans/DialoGPT-small-joshua,conversational,natural-language-processing,./model_cards/_noArch/SonMooSans_DialoGPT-small-joshua_README.md
Stoned-Code/DioloGPT-large-Rick-SC-420,https://huggingface.co/Stoned-Code/DioloGPT-large-Rick-SC-420,conversational,natural-language-processing,./model_cards/_noArch/Stoned-Code_DioloGPT-large-Rick-SC-420_README.md
TalTechNLP/espnet2_estonian,https://huggingface.co/TalTechNLP/espnet2_estonian,automatic-speech-recognition,audio,./model_cards/_noArch/TalTechNLP_espnet2_estonian_README.md
TalTechNLP/voxlingua107-epaca-tdnn-ce,https://huggingface.co/TalTechNLP/voxlingua107-epaca-tdnn-ce,audio-classification,audio,./model_cards/_noArch/TalTechNLP_voxlingua107-epaca-tdnn-ce_README.md
TalTechNLP/voxlingua107-epaca-tdnn,https://huggingface.co/TalTechNLP/voxlingua107-epaca-tdnn,audio-classification,audio,./model_cards/_noArch/TalTechNLP_voxlingua107-epaca-tdnn_README.md
Taramiko/DialoGPT-small-hoshiyo_kojima,https://huggingface.co/Taramiko/DialoGPT-small-hoshiyo_kojima,conversational,natural-language-processing,./model_cards/_noArch/Taramiko_DialoGPT-small-hoshiyo_kojima_README.md
Tejasvb/DialogGPT-small-rick,https://huggingface.co/Tejasvb/DialogGPT-small-rick,conversational,natural-language-processing,./model_cards/_noArch/Tejasvb_DialogGPT-small-rick_README.md
TheReverendWes/DialoGPT-small-rick,https://huggingface.co/TheReverendWes/DialoGPT-small-rick,conversational,natural-language-processing,./model_cards/_noArch/TheReverendWes_DialoGPT-small-rick_README.md
ThomasSimonini/ML-Agents-SnowballFight-1vs1,https://huggingface.co/ThomasSimonini/ML-Agents-SnowballFight-1vs1,reinforcement-learning,reinforcement-learning,./model_cards/_noArch/ThomasSimonini_ML-Agents-SnowballFight-1vs1_README.md
ThomasSimonini/demo-hf-CartPole-v1,https://huggingface.co/ThomasSimonini/demo-hf-CartPole-v1,reinforcement-learning,reinforcement-learning,./model_cards/_noArch/ThomasSimonini_demo-hf-CartPole-v1_README.md
ThomasSimonini/mlagents-snowballfight-1vs1-ppo,https://huggingface.co/ThomasSimonini/mlagents-snowballfight-1vs1-ppo,reinforcement-learning,reinforcement-learning,./model_cards/_noArch/ThomasSimonini_mlagents-snowballfight-1vs1-ppo_README.md
ThomasSimonini/ppo-AntBulletEnv-v0,https://huggingface.co/ThomasSimonini/ppo-AntBulletEnv-v0,reinforcement-learning,reinforcement-learning,./model_cards/_noArch/ThomasSimonini_ppo-AntBulletEnv-v0_README.md
ThomasSimonini/ppo-BreakoutNoFrameskip-v4,https://huggingface.co/ThomasSimonini/ppo-BreakoutNoFrameskip-v4,reinforcement-learning,reinforcement-learning,./model_cards/_noArch/ThomasSimonini_ppo-BreakoutNoFrameskip-v4_README.md
ThomasSimonini/ppo-LunarLander-v2,https://huggingface.co/ThomasSimonini/ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning,./model_cards/_noArch/ThomasSimonini_ppo-LunarLander-v2_README.md
ThomasSimonini/ppo-PongNoFrameskip-v4,https://huggingface.co/ThomasSimonini/ppo-PongNoFrameskip-v4,reinforcement-learning,reinforcement-learning,./model_cards/_noArch/ThomasSimonini_ppo-PongNoFrameskip-v4_README.md
ThomasSimonini/ppo-QbertNoFrameskip-v4,https://huggingface.co/ThomasSimonini/ppo-QbertNoFrameskip-v4,reinforcement-learning,reinforcement-learning,./model_cards/_noArch/ThomasSimonini_ppo-QbertNoFrameskip-v4_README.md
ThomasSimonini/ppo-SeaquestNoFrameskip-v4,https://huggingface.co/ThomasSimonini/ppo-SeaquestNoFrameskip-v4,reinforcement-learning,reinforcement-learning,./model_cards/_noArch/ThomasSimonini_ppo-SeaquestNoFrameskip-v4_README.md
ThomasSimonini/ppo-SpaceInvadersNoFrameskip-v4,https://huggingface.co/ThomasSimonini/ppo-SpaceInvadersNoFrameskip-v4,reinforcement-learning,reinforcement-learning,./model_cards/_noArch/ThomasSimonini_ppo-SpaceInvadersNoFrameskip-v4_README.md
ThomasSimonini/ppo-Walker2DBulletEnv-v0,https://huggingface.co/ThomasSimonini/ppo-Walker2DBulletEnv-v0,reinforcement-learning,reinforcement-learning,./model_cards/_noArch/ThomasSimonini_ppo-Walker2DBulletEnv-v0_README.md
ThomasSimonini/stable-baselines3-ppo-LunarLander-v2,https://huggingface.co/ThomasSimonini/stable-baselines3-ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning,./model_cards/_noArch/ThomasSimonini_stable-baselines3-ppo-LunarLander-v2_README.md
Tminus1/SumBot,https://huggingface.co/Tminus1/SumBot,summarization,natural-language-processing,./model_cards/_noArch/Tminus1_SumBot_README.md
UBIAI/en_scibert_ScienceIE,https://huggingface.co/UBIAI/en_scibert_ScienceIE,token-classification,natural-language-processing,./model_cards/_noArch/UBIAI_en_scibert_ScienceIE_README.md
Visual-Attention-Network/VAN-Base-original,https://huggingface.co/Visual-Attention-Network/VAN-Base-original,image-classification,computer-vision,./model_cards/_noArch/Visual-Attention-Network_VAN-Base-original_README.md
Visual-Attention-Network/VAN-Large-original,https://huggingface.co/Visual-Attention-Network/VAN-Large-original,image-classification,computer-vision,./model_cards/_noArch/Visual-Attention-Network_VAN-Large-original_README.md
Visual-Attention-Network/VAN-Small-original,https://huggingface.co/Visual-Attention-Network/VAN-Small-original,image-classification,computer-vision,./model_cards/_noArch/Visual-Attention-Network_VAN-Small-original_README.md
Visual-Attention-Network/VAN-Tiny-original,https://huggingface.co/Visual-Attention-Network/VAN-Tiny-original,image-classification,computer-vision,./model_cards/_noArch/Visual-Attention-Network_VAN-Tiny-original_README.md
Wikidepia/SB-AutoSegment,https://huggingface.co/Wikidepia/SB-AutoSegment,token-classification,natural-language-processing,./model_cards/_noArch/Wikidepia_SB-AutoSegment_README.md
WurmWillem/DialoGPT-medium-RickandMorty3,https://huggingface.co/WurmWillem/DialoGPT-medium-RickandMorty3,conversational,natural-language-processing,./model_cards/_noArch/WurmWillem_DialoGPT-medium-RickandMorty3_README.md
Xibanya/sunset_city,https://huggingface.co/Xibanya/sunset_city,text-to-image,multimodal,./model_cards/_noArch/Xibanya_sunset_city_README.md
Yankee/test1234,https://huggingface.co/Yankee/test1234,conversational,natural-language-processing,./model_cards/_noArch/Yankee_test1234_README.md
YasinShihab/asr-en-bn-test,https://huggingface.co/YasinShihab/asr-en-bn-test,automatic-speech-recognition,audio,./model_cards/_noArch/YasinShihab_asr-en-bn-test_README.md
Zen1/Derekbot,https://huggingface.co/Zen1/Derekbot,conversational,natural-language-processing,./model_cards/_noArch/Zen1_Derekbot_README.md
akhaliq/YOLOP,https://huggingface.co/akhaliq/YOLOP,object-detection,computer-vision,./model_cards/_noArch/akhaliq_YOLOP_README.md
allenai/bidaf-elmo,https://huggingface.co/allenai/bidaf-elmo,question-answering,natural-language-processing,./model_cards/_noArch/allenai_bidaf-elmo_README.md
allenai/bidaf,https://huggingface.co/allenai/bidaf,question-answering,natural-language-processing,./model_cards/_noArch/allenai_bidaf_README.md
allenai/naqanet,https://huggingface.co/allenai/naqanet,question-answering,natural-language-processing,./model_cards/_noArch/allenai_naqanet_README.md
allenai/transformer_qa,https://huggingface.co/allenai/transformer_qa,question-answering,natural-language-processing,./model_cards/_noArch/allenai_transformer_qa_README.md
alphai/en_pipeline,https://huggingface.co/alphai/en_pipeline,token-classification,natural-language-processing,./model_cards/_noArch/alphai_en_pipeline_README.md
amank22/hi_ud_hi_ewt,https://huggingface.co/amank22/hi_ud_hi_ewt,token-classification,natural-language-processing,./model_cards/_noArch/amank22_hi_ud_hi_ewt_README.md
amtam0/timer-ner-en,https://huggingface.co/amtam0/timer-ner-en,token-classification,natural-language-processing,./model_cards/_noArch/amtam0_timer-ner-en_README.md
amtam0/timer-ner-fr,https://huggingface.co/amtam0/timer-ner-fr,token-classification,natural-language-processing,./model_cards/_noArch/amtam0_timer-ner-fr_README.md
anferico/bert-for-patents,https://huggingface.co/anferico/bert-for-patents,fill-mask,natural-language-processing,./model_cards/_noArch/anferico_bert-for-patents_README.md
antoniocappiello/bert-base-italian-uncased-squad-it,https://huggingface.co/antoniocappiello/bert-base-italian-uncased-squad-it,question-answering,natural-language-processing,./model_cards/_noArch/antoniocappiello_bert-base-italian-uncased-squad-it_README.md
asanwari/agriculture-sentence-transformer,https://huggingface.co/asanwari/agriculture-sentence-transformer,sentence-similarity,natural-language-processing,./model_cards/_noArch/asanwari_agriculture-sentence-transformer_README.md
awvik360/DialoGPT-medium-plemons2,https://huggingface.co/awvik360/DialoGPT-medium-plemons2,conversational,natural-language-processing,./model_cards/_noArch/awvik360_DialoGPT-medium-plemons2_README.md
aychang/bert-large-cased-whole-word-masking-finetuned-squad,https://huggingface.co/aychang/bert-large-cased-whole-word-masking-finetuned-squad,question-answering,natural-language-processing,./model_cards/_noArch/aychang_bert-large-cased-whole-word-masking-finetuned-squad_README.md
aychang/distilbert-squad,https://huggingface.co/aychang/distilbert-squad,question-answering,natural-language-processing,./model_cards/_noArch/aychang_distilbert-squad_README.md
aychang/fasterrcnn-resnet50-cpu,https://huggingface.co/aychang/fasterrcnn-resnet50-cpu,object-detection,computer-vision,./model_cards/_noArch/aychang_fasterrcnn-resnet50-cpu_README.md
bayartsogt/tts_transformer-mn-mbspeech,https://huggingface.co/bayartsogt/tts_transformer-mn-mbspeech,text-to-speech,audio,./model_cards/_noArch/bayartsogt_tts_transformer-mn-mbspeech_README.md
bgfruna/double-bart-ensemble-squad2,https://huggingface.co/bgfruna/double-bart-ensemble-squad2,question-answering,natural-language-processing,./model_cards/_noArch/bgfruna_double-bart-ensemble-squad2_README.md
bob80333/speechbrain_ja2en_st_63M_yt600h,https://huggingface.co/bob80333/speechbrain_ja2en_st_63M_yt600h,automatic-speech-recognition,audio,./model_cards/_noArch/bob80333_speechbrain_ja2en_st_63M_yt600h_README.md
bookemdan/DialoGPT-small-harrypotter,https://huggingface.co/bookemdan/DialoGPT-small-harrypotter,conversational,natural-language-processing,./model_cards/_noArch/bookemdan_DialoGPT-small-harrypotter_README.md
byan/librispeech_asr_train_asr_conformer_raw_bpe_batch_bins30000000_accum_grad3_optim_conflr0.001_sp,https://huggingface.co/byan/librispeech_asr_train_asr_conformer_raw_bpe_batch_bins30000000_accum_grad3_optim_conflr0.001_sp,automatic-speech-recognition,audio,./model_cards/_noArch/byan_librispeech_asr_train_asr_conformer_raw_bpe_batch_bins30000000_accum_grad3_optim_conflr0.001_sp_README.md
byan/librispeech_asr_train_asr_transformer_e18_raw_bpe_sp,https://huggingface.co/byan/librispeech_asr_train_asr_transformer_e18_raw_bpe_sp,automatic-speech-recognition,audio,./model_cards/_noArch/byan_librispeech_asr_train_asr_transformer_e18_raw_bpe_sp_README.md
cankeles/ConvTasNet_WHAMR_enhsingle_16k,https://huggingface.co/cankeles/ConvTasNet_WHAMR_enhsingle_16k,audio-to-audio,audio,./model_cards/_noArch/cankeles_ConvTasNet_WHAMR_enhsingle_16k_README.md
cankeles/DPTNet_WHAMR_enhsingle_16k,https://huggingface.co/cankeles/DPTNet_WHAMR_enhsingle_16k,audio-to-audio,audio,./model_cards/_noArch/cankeles_DPTNet_WHAMR_enhsingle_16k_README.md
carlosaguayo/Simonini-ppo-LunarLander-v2,https://huggingface.co/carlosaguayo/Simonini-ppo-LunarLander-v2,reinforcement-learning,reinforcement-learning,./model_cards/_noArch/carlosaguayo_Simonini-ppo-LunarLander-v2_README.md
carlosaguayo/cats_vs_dogs,https://huggingface.co/carlosaguayo/cats_vs_dogs,image-classification,computer-vision,./model_cards/_noArch/carlosaguayo_cats_vs_dogs_README.md
