id,text,emotions
2042,i am not feeling very compassionate towards those that need our help i just want them to fix their own problems so i dont have to figure out what parts they need or how long it will take to get the job done or is this an emergency,love
66949,i had my week appointment yesterday and left feeling a little defeated,sadness
77969,i know it isnt true but sometimes i feel like the most unimportant insignificant person on the face of the earth,sadness
53909,i feel so numb to everything right now and its hard to express exactly what i feel but we went for a little harrison walk nonetheless to clear our heads,sadness
36736,i feel for you makes me brave,joy
6319,i am feeling incredibly thankful for this year my children,joy
127028,i write this i m sipping on a martini which is probably why i m feeling so generous,joy
13555,i would recommend watching them to feel amazed and inspired,surprise
13174,i can t really put into eloquent words what i m trying to say i just feel listless and useless and meaningless as though i ve failed in life,sadness
6714,i feel that i have a really funny side that i would like people to see,surprise
1787,i already feel awful about what happened and i actually needed to hear you say everything you just said more than anything else in the whole world,sadness
34547,i feel divine and strong,joy
1514,i can say that i feel amazed,surprise
1359,i actually think i am a fairly authentic person generally i am pretty honest about my opinions desires etc and almost never lie even white lies but when it comes to those deep dark close to home negative feelings in your gut oh how i have repressed them out of fear,sadness
34247,i slept horribly and i m feeling doubtful about everything like why can t i manage to figure out how to save more money,fear
39171,i feel hopeful yet at times not so hopeful,joy
91062,i just supposed to read the bible and think well god wants me to feel peaceful so thats what i will do,joy
33328,i hated growing up i have no good memories of a life as an innocent child only the feeling of being hated and worthlessness consume the memories,anger
7025,i am having really badly cannot wear anything without causing spasms diarrhea or eat more than a few of mouthfuls i am feeling very miserable,sadness
1954,when my kid brother broke my reading spectacles,anger
4586,i could feel my mouth water as i devoted all my energy to evoking yelps from his lips,love
133785,im feeling though that it may be worthwhile to learn the terminology and thus improve my ability to communicate,joy
9418,i don t feel afraid i m a nurse i m doing my job,fear
119068,i was feeling confident that i could work with these kids teach them,joy
44802,im feeling scared,fear
120222,i was feeling really cute and happy for church on sunday so i thought itd be a good time to take a belly picture,joy
28693,i feel burdened because yuchun and junsu have been doing so well,sadness
67379,i had to really say that i m feeling remorseful and regretful for what i ve done,sadness
128691,im associated with what they do despite how i feel and protest about it whilst reaping the benefits of a relatively peaceful society,joy
26077,i have a feeling i will once again walk out pressured to induce but i just have to remain strong in the face of pressure,fear
46797,i feel like i m frolicking away precious time to do something for my future,joy
46418,i feel like i have some useful tools,joy
42629,i feel like im in some kind of defective shell that prevents me from utilizing who i know myself to be from using the tools i was given,sadness
52381,i feel so empty i dont know what i am suppose to do,sadness
78070,i genuinely feel for the characters and am keen to uncover every part of the story,joy
129698,im feeling adventurous i might toss in a scoop of protein powder for an extra punch of nutrition,joy
27711,i feel awkward around rose,sadness
46691,i want to be generous but sometimes i feel greedy,anger
20722,i feel so unsure about this book was the ending,fear
104252,i really liked it and i have a feeling the beloved would have liked it too except hes away still and missed out,joy
23086,i feel like talking in a snobbish uppity accent and responding with let me just say a lot while flipping my hair and then trying to pull the cheese wiz out of it,anger
20445,i don t feel as needy and desperate to prove things,sadness
28025,i feel bad for my mum who carries everything and everyone,sadness
82807,i have a feeling some people really outgoing people must feel like that naturally,joy
103907,i was still feeling pretty discouraged when a friend of mine shared a verse with me may the god of hope fill you with all joy and peace as you trust in him so that you may overflow with hope by the power of the holy spirit,sadness
114337,i try not to be too dismissive of elections since i feel privileged to have the right to be dismissive of elections but it s really hard to get too excited about an election where half the races on ballot are folks running completely unopposed,joy
114168,im feeling too low for creative play,sadness
23998,i find myself feeling quite distressed by approaching each meal with concern,fear
52486,i feel so foolish and ashamed,sadness
119666,i was feeling ok ish so decided to carry on with another group that had set off later but were catching up with us quickly,joy
31838,i feel embarrassed or mean when i would do other wise,sadness
2458,i also feel that labyrinths may be approached too much for solemn purposes,joy
67868,i hate feeling so needy and yet knowing no one can help me feel better because the only thing that would make me happy and the only thing i need is doug,sadness
37303,i know i feel agitated like the volcanos sudden movement i am thinking why cant i stop,anger
32444,i realise the date and feel so alarmed as if its time i start living already,fear
66732,i feel that everybody is so eager for competition at least that s what i am feeling very strongly,joy
3174,i am feeling paranoid and not wanting to leave the house,fear
38246,i want people to laugh whilst watching this however still feel a little suspicious of what could happen,fear
20191,i definitely dont want to live forever but if i could stay looking and feeling until i hit maybe years on earth and then bite it thatd be cool,joy
54471,i feel most rich with a full table of people to sit and eat with,joy
113942,i took was blurry which kind of captures my feeling of relieved bliss,joy
113740,i told the designer that it was very fitting for me because im always feeling like i dont belong in my job with my friends with my creative aspirations,joy
64735,i go back to feeling miserable plus my eyes itch and its hot,sadness
8457,i have been reaching for this a lot it is light nourishing and leaves my skin feeling amazing in the morning,surprise
38626,i feel honoured and excited to introduce the incredibly nice very well travelled and oh so stylish a href http silkyway,joy
6025,i don t feel gentle a href http www,love
36847,i keep cards they are also leaves of past i would feel heartless to throw them away,anger
95147,i think the force of the disappointment that i feel when i get rejected from a job has to do with wanting to keep this shield up to replace academia with some other job any other job whether i actually want it or not,sadness
16292,i feel dissatisfied since ive been doing nothing,anger
18934,i could feel myself hardening and not because of the gorgeous breasts that i was sucking on,joy
59524,i feel ugly and certainly days where i dont want to give look or act my best,sadness
74852,i just feel like a whiney bitch,sadness
99774,i must say that i definitely feel like ive become much more intelligent this semester,joy
86991,i remember feeling a little jaded after my first trip abroad like america had betrayed me somehow,sadness
13403,i feel most romantic when its just the two of us hand in hand a couple without kids alone and free to just be together,love
3604,i feel amazing putting on nd class said newly frocked interior communication electrician nd class rachel rice,surprise
9366,i know im way knowledgeable now i feel like i am in such an amazing stage of life,surprise
98188,i may attempt a hair coloring session later if i m feeling brave crazy saturday nights over here,joy
134675,im going to the valentines day banquet tonight and i just got all my makeup and hair done and i feel gorgeous,joy
38726,i feel honoured that anyone takes time from their day to let me know they ve read my posts,joy
29442,i feel absolutely sufficed and equally determined,joy
68803,i have a feeling that prom will suck as signalled by the gloomy clouds and rainfall,sadness
12530,i feel like the puppets are more of an obstacle than anything else distracting from the story and drama rather than supporting or adding to it,love
36958,i think she just feels a bit threatened sometimes like guys who watch us and get off on it are kind of intruding,fear
106780,i woke up half way home and vaguely remember feeling lost the where am i,sadness
102642,i pulled over in a roadside forest and sat under a tree to relax for a bit reminding myself it s the journey and not the destination and feeling sure that the saying was invented by someone completely lost,joy
28645,i feel brow beaten whenever the bbc comes under attack i ve pumped all of mr lyons words into wordle,sadness
101196,i was feeling particularly gloomy the weather has the worst effect on me i didn,sadness
28037,i feel bad for people who try to figure me out because even i dont know who i am,sadness
112719,im feeling low or going through something difficult why is that the time that close friends choose to be moody or weird,sadness
69946,i have been feeling really needy of attention maybe because ryan has been working a lot and i am home by myself all day,sadness
26618,i have been made to look like im an albino and toned to the point of turning grey and feeling a little more skeptical each time i go to get my hairdresser,fear
48242,i was feeling rather agitated over something as i was departed home and yet i couldn t attest to any particular reason why i was experiencing such erratic type of emotions at that time,anger
96597,i try to convince him what he says he can t feel though in vain,sadness
124756,i wish i could describe to you the joy i feel when i receive a letter from one of these precious children,joy
105103,i remember last year feeling thankful but also having to nudge myself to remember all that i was and still am thankful for,joy
4919,i am very much behind on my reading and writing for the fall quarter i might say that the decision to overwork the dawley text was what first fucked me over but neither do i feel i ought to be shaken by such a small thing,fear
96814,i love reading your comments so please feel free to leave them,joy
23771,i do not know if you have not had the experience of buying shoes online this is so true i feel sincere joy in the store are not always happy,joy
15545,i feel bothered at the fact that some of us have been given so many chances but i don t see the least bit of appreciation and utter gratefulness downright from their souls,anger
11630,i am still proud of the change i made and it makes me feel good to know that i broke free of my addiction,joy
110469,i supposed i ought to feel thankful for that adding with a sarcastic edge at my age,joy
7196,i constantly feel an anxious twinge to start something great,fear
23829,i do not think it is a lack of esteem i am confident in my own capabilities and feel that i am generally respected in my professional and personal life,joy
31164,i would love to do something that i feel passionate about,love
85024,i have finally signed a petition that made me feel kind of hopeful,joy
91909,i still feel kind of listless and frustrated but its so much better than it was before,sadness
29253,i know i m going to quit i feel frantic to smoke,fear
82653,i have a feeling it will be a pleasant surprise,joy
131108,im feeling inside but i just need to calm down and relax,joy
209,held under water by a large wave and thought i was drowning,fear
116068,im not in a bad mood but i feel messy and unmotivated,sadness
3856,i am a captivating feel energetic and motions and euphoric feelings is advisable that work all,joy
69384,i feel that this is for others to decide i m delighted that fans of my paintings will now be able to see a body of work of which i m very proud,joy
62585,i feel so honored to see them but part of me says come on queenie its time to retire to the royal bedchamber,joy
24957,i feel rather disgusted after seeing his photography,anger
32187,i feel blessed to have been surrounded with so many great coaches players and administrators that have worked relentlessly and dedicated themselves to this institution,joy
61586,i feel we will all be doomed to repeat the horrors of the great depression and the wiemar republic depression,sadness
48013,i was feeling jealous and i said no im not jealous because i know where i stand,anger
20306,i feel like a petty girl whos wasting her time on a lost cause,anger
2133,i also feel arisnote is a useful program,joy
7444,i could help but feel deeply doubtful about my decision to come to india,fear
122196,i was suppose to feel amazing but i didnt and would have to deal with that for the next,joy
26409,i started to feel horny and responded to her kisses,love
69955,i feel the artistic maelstrom swirling around me,joy
81380,i had much trepidation about forcing the issue but i had prayed about it and not only was i being honest with my feelings i was convinced i was right,joy
24003,i feel a bit discontent that its passed me by again,sadness
119138,i was feeling ecstatic i was feeling laid back i didnt care anymore,joy
10706,i am once more reminded that smooth travel depends mostly on luck and this time i have it and others do not and so i feel like the rich person who was handed fortunes while others just scraped by if that,joy
37507,i took my car and my camera to a scrapyard and despite feeling very intimidated by my surrounds i asked if i could take a few pics and when i got the ok i did just that,fear
127001,i write these words i feel solemn,joy
13466,i feel fearful that they will want to save her from the things people and places i joyfully drag her into the center of,fear
119620,i was feeling much more mellow,joy
72231,i feel to glad that this blog must be helpful knowledgeable and explorable,joy
114250,im feeling unloved and unwanted and as if the only person in the world who loves me is my child,sadness
236,i fear before each exam,fear
110501,i sure do feel rich right now,joy
103717,i really enjoy physics it makes me think and analyse and even though it gets frustrating the feeling of solving a problem is just wonderful,joy
137109,im quick to feel guilt for the innocent,joy
119067,i was feeling confident once again vanessa and mamen had succeeded in reminding me why i came here,joy
4153,i am eating and also the way i feel although i do still feel groggy without the caffeine to wake me up that is something i am ok with as long as i dont have the heartburn and headaches,sadness
39522,i was feeling less scared than before cause im a wizard wahahaha,fear
21315,i didn t feel so lively february th goto comments leave a comment,joy
73541,i honor this higher self sometimes i feel that i am alone,sadness
74505,i feel very rich i have no money to speak of,joy
117384,i wanted most in the world was to feel calm,joy
76911,i knew i was on my way to the finish line but it didn t feel like it in fact i felt like the run and my suffering would never end,sadness
17959,i feel pressured by a dumb feeling,fear
103970,i was still more optimistic about things and how simple i see things right now i feel jaded and worn out,sadness
32012,im feeling and loving about this homeschooling gig is the space that comes with it,love
37971,i feel lame just writing about life things anyway,sadness
50985,i feel shitty when im at work not doing much and not contributing to the bottom line because im not motivated i feel like a leech but i get paid and i dont turn it down,sadness
65132,i feel strong confident and powerful,joy
38211,i feel lethargic and drained,sadness
114852,im guessing my nutrient poor carb dinner the night before had something to do with how i was feeling which was crappy with a huge side of hunger,sadness
13303,i feel more generous and think that perhaps art dont have to do that necessarily but that the good art or the high art has to do that,love
26343,i feel so angry at myself,anger
113792,i too feels that kareena will make a fantastic cop,joy
73272,i heard about this myth a long time ago and when we went my teacher and i joked about going and eating there since we were feeling a bit homesick,sadness
40286,i feel like i am going to get blamed,sadness
10966,i feel a bit paranoid like people are judging me,fear
107928,i would feel pretty crap to put it in the prizes because its fake boooo,sadness
37168,i feel it s just really boring if you were to end up playing a good vs good match it might happen i wouldn t want to play it and have my legolas look the same as the three other legolasses on the board because that s boring and i consider the painting to be part of the hobby,sadness
47080,i feel like i need to apologize to you because of how i was finally convinced of your love,joy
25728,i feel after i quit a job i hated class thumbnail width,sadness
28249,i just didn t feel it i m afraid,fear
76724,i finally feel excited to continue to try to lose some weight,joy
48752,i feel quite bad that i made yihan feel bad,sadness
15201,i can feel that my face is cleaner and looks more radiant,joy
22681,i do feel hiccups sometimes they are so cute,joy
42415,i feel like im being ungrateful cause here i am born into a happy loving family with hardly any trouble whatsoever with anything,sadness
51528,i feel like they are not respected as they should be,joy
28708,i feel that these types of people are the most dangerous in any situation,anger
45989,i feel lonely as i walk around in school and at lot one shopping mall,sadness
90141,i just feel like im nothing special,joy
27804,i feel awkward to accept the reward they want to gave me,sadness
21284,i imagine sitting at a fire at party with someone you really care about trying to tell them how you feel waiting and longing for the moment and feeling so many mixed feelings,love
131709,im feeling more optimistic about it in regards being more at ease in shorts,joy
67083,i feel that i am rather faithful to make up brands especially when i find something that really works for me,joy
5863,i can do feeling helpless,fear
7429,i feel a tender and still tentative unfurling of innocent desire towards my mate,love
116385,im not typing this right now feeling all lethargic and buzzed up from all the food and drink like the old joe would have,sadness
100888,i was feeling kind of regretful i didnt try out for the drill team but i think if i make this jv drill team itll be better for my schedule with ib and stuff ooh and today i got a letter from arita her friends in thailand are so cute,sadness
110371,im back at my doctors tomorrow for the results of a blood test and to pick up a prescription if im still feeling as bad tomorrow as i am right now im going to mention something and hopefully get an appointment,sadness
120714,ive made and provided that someone would understand exactly how i feel when im discouraged and ready to give up,sadness
18282,i find this scent pretty generic i actually feel like bath amp bodyworks didnt invest much time in this collection like they created sweet on paris then decided to throw together two other predictable scents,love
15742,i feel that i am very generous with giveaway copies of my copyrighted works and i dont like to have to address an issue like this but i work hard to produce my books,love
970,it was in march when one of my fellow students borrowed my wristwatch and after sometime he broke a glass of that watch i got angry when he was telling me but the anger didnt take long to fade,anger
16570,i feel enraged when some people are happy,anger
76655,i kept quiet feeling a little foolish that i had been too quick to jump into conclusion,sadness
46195,im sitting there shitting bricks feeling completely terrified nervous that im going to make a mistake and cost my raid the achievement again this week,fear
101383,i often feel an energetic disconnect when engaging with technology,joy
34420,i sort of sense it but at the same time other signs point me away so i m left just feeling confused and misdirected,fear
50227,i feel responsibility is suffering,sadness
54850,i feel so unimportant there,sadness
28682,i want to have amicable and easy relations with good feeling supportive neighbours,love
15919,i could say im feeling very low right now because im trying trying but i hate slow progress,sadness
25052,i feel a little sentimental about and will probably keep but at the end of the hour or so it took me to go through everything heres what i had a href http,sadness
6722,i am fighting with my mind trying to tell myself to not feel lonely and there they re helping oh so much,sadness
105629,i said glimpses of time moments of mercy that i am reminded just whose errand i am on and i feel so lucky to do his work,joy
113296,im feeling rather sentimental and nostalgic now,sadness
90444,i stared out the window for a few minutes feeling hopeless defeated and so tired,sadness
4899,i am feeling disliked,sadness
1279,i behave normally it feels weird,surprise
26860,i have gotten comfortable laying the boat over and gently righting it using a low brace without jerking it or feeling alarmed by the lack of push back,fear
5492,i am feeling mentally and physically drained i am no longer the same person i was a year ago i have changed,sadness
54382,i feel most contented when,joy
91274,i just want to take this opportunity to express my deepest feelings of sympathy to you over the loss of your beloved paul,joy
46446,i feel mega lame because hes all i can think about for god knows what reason and he probably hasnt even had my name cross his mind since last week,sadness
31500,i get that kind of pressure i start to feel irritated and i can quickly get angry and snappish,anger
109542,i still feel the two most talented teams will st,joy
46937,i feel morose nonetheless too much to do and too much to think about,sadness
2556,i also feel very excited because i would like to know how our child would look like and i would be teaching her russian and british accents hahahaha,joy
7524,i feel about myself ive been sort of faithful in supporting the huddle but i feel like ive done so sooo little in playing the game,love
5506,i am not angry or feeling jealous or envious with what actually took place just now but i was just being a lost n upset girl wondering some things that i shouldnt be thinking not at this moment n never will,anger
10010,i arrived on the cardiac floor i was feeling sleep deprived and a little on edge frankly i was stressed out,sadness
4563,i am feeling quite cold,anger
8754,i am finding other ways to feel entertained protected attractive comfortable,joy
119224,ive been feeling mellon collie aka melancholy the past few days and i,sadness
98239,i want to capture this stillness and place it in a bottle so that the next time i m feeling a little gloomy i can take out this piece of tranquility and just breathe,sadness
37272,i know i am feeling frustrated and venting all my energy onto something that is very likely explanable if i could look beyond the surface,anger
40912,i was still feeling skeptical and thought im crazy to try out this recipe since i never like oat porridge at all,fear
33491,i said in my other post it feels so weird that its a story,fear
4631,i could feel the desperation of the longing seeping within me,love
138764,im with my grandparents i feel like the time is very precious,joy
53234,im feeling hostile and irritated,anger
5219,i attended i tried to pay more attention to the material that i was covering and even participated in some of the excercises despite feeling a little skeptical at first and thought that i would have nothing to gain from it,fear
97199,i used to feel i can do anything but now i feel miserable,sadness
70639,i feel the need to keep you entertained because i feel like youre bored of me,joy
19147,i do feel remorseful for shouting at him at times when hes especially annoying,sadness
32417,i had a feeling she hated the new litter we got we get costco brand and she dislikes julius using the same box,anger
111001,i tend to keep my mouth shut because im not well enough informed but when it comes to public education i can speak what i feel because thats one topic im passionate about and do my best to keep up with,joy
16630,i can t seem to shake the feeling that i am taking up someone s valuable chance for comfort and guidance,joy
18343,i forgive myself for accepting and allowing myself for having created and energy high addiction dependency upon and as self righteousness as a result of feeding my thoughts feelings emotions from the starting point of accepted and allowed justifications and validations,love
29448,i feel deeply burdened and emotionally distraught however it is then you whisper be still and know that i am god,sadness
72974,i feel valued appreciated and respected and i feel like i am going somewhere rather than merely treading water and going through the motions as i was starting to feel in my previous department,joy
15248,i feel strongly about gentle transitions and sleeping with company is comforting for him and for us as well when you think about it as we sleep alongside our spouses and not separately,love
59145,i feel too needy and probably seem far too detached,sadness
8353,i have a surge of affection sometimes i just feel curious sometimes i feel sad in a way thats difficult to verbalize,surprise
54605,i feel so ugly all the time,sadness
25738,i hate feeling afraid,fear
36566,i just get so attached to the guy im dating usually though its not this bad but iv been so emotional this last year that i just feel greedy and selfish for wanting him here at this very moment,anger
125647,i wore a flowy maternity gown that made me feel everything but cute,joy
12101,i am truly feeling more comfortable with technology almost on a daily basis,joy
66791,i feel that friendly discussion about the problem can ease out the impact substantially,joy
36658,i feel is damaged by the complex story being truncated into a summer blockbuster format,sadness
52209,im fairly certain that part of the reason i always choose awful frames is because i feel so rushed,anger
122166,i was stood with slade frontman noddy holder as the group performed his song cmon feel the noize to an ecstatic stadium filled to the brim with grown men holding their plastic pint pots aloft full of warm lager arm in arm singing every word,joy
34496,i have loved not feeling rushed here,anger
116812,i want to feel worthwhile and enjoyable,joy
102033,i personally feel that a system that cannot guarantee that no innocent citizen will ever be convicted in error should only impose sentences on the convicted that can be reversed should such an error later on come to light,joy
14041,i called his sister as kak lng as he call and als his brthers abang ngah and abang chik i never feels that i culd have thers t share my lve with im glad that they accept me even at first lk that im such nse t share their mthers lve huhu,joy
149,football was a very big deal at my high school,joy
13926,i feel passionate about etc,love
83809,i have always believed that love lives on that the feelings we have that are kind generous and accepting of others as they are exist independently of whether we decide to move on or not,joy
55375,i feel somewhat ashamed,sadness
22431,i do all these things is to feel abolutely even fabulous on the inside,joy
118346,im usually feeling very blank and i know i posted already today but it was all bachelorette talk and i guess i had more to say,sadness
45807,i tried to be empathetic pretended to be empathetic and acted as if i was making sure to put the needs of my family before my own for example but keenly aware of feeling resentful at the same time,anger
4804,i am feeling depressed so having a giant apple pie in my face was not particularly a good idea,sadness
15220,i feel as though this vicious cycle that life has thrown at me will never stop,anger
95146,i like them no i love them i feel happy at the sight of them but i don t know what need have i of them or rather they of me,joy
24480,i don t feel as if i m smart enough to accomplish my goals or to even socialize with other people i don t believe i m pretty i constantly eat and have lost the motivation to lose weight and be happy,joy
29910,i was probably there for an hour or so i wouldve stayed longer but i was feeling too hot,love
112870,im feeling needy and then you should put on music and just sit with me i promise to not compare you to other men in my life,sadness
30157,i was upset most of the time during my birthday due to my assignment and also because of my parents forgetting about my birthday this year there were my friends who really brighten up my day and made me feel loved at the same time,love
47395,i feel like i should end it all because nothing worthwhile is ever going to happen,joy
28608,i feel broke inside but i wont admit,sadness
13873,i cant help but feel so devastated for her because she has no idea what shes going to do,sadness
80157,i guess i should be grateful i can still feel every day i am thankful for the unwavering love and support of friends and family who remind me i m worth the fight,joy
129583,im feeling a lot more confident walking outside,joy
47590,ive postponed writing this post because i feel like its a vulnerable one to write,fear
16591,i feel the heat of disapproval and failure breathing hot on my neck and heart,love
67648,i hate feel needy,sadness
127106,i wrote i walked connected and shared with the people working and living at grshino and loved the feeling of being so honoured and welcomed by each and every one of these beautiful people of being part of a community,joy
268,i have once been very sad and lonely this was when i was trying to organize a play as a student years instead of materializing,sadness
14540,i feel so blessed to be a citizen of the united states of america,love
121512,i was not feeling terrific i did manage to do a bit of creating,joy
23350,i feel weird and out of place,fear
37986,i feel he that wonderful young man who drives himself in every way taking off on an adventure with his best friends from elementary school i felt so happy for him,joy
21002,i havent written a wishlist post since august and my list of things i want is getting longer by the second so i thought id better write them all down here before it gets unmanageable p also christmas is less than a month away so if anyone is feeling generous,love
17838,i cant stay like i am any longer i feel like a freak i dont want to have sex cause it must be like shagging a bouncy castle and also since i had my hair cut shorter i feel like a frump a complete fat frump,joy
7325,i can feel if they are irritated angry sad or upset,anger
60134,i feel rich when i use them,joy
12707,i arrive and stand in front of the tiny box office window with the same feeling of being interviewed at the border by a police officer convinced you are a criminal trying to flee the country,joy
11413,i started feeling weird and by saturday morning i could hardly take steps without being out of breath or wanting to throw up,surprise
85595,i have made to washington dc in the last years to advocate for the cnmi foreign workers i feel that this one is the most productive,joy
4561,i am feeling a little stressed but seriously i have no one or nothing to blame but myself,sadness
131165,im feeling invigorated again and not a moment too soon,joy
22108,i didnt know what it was but i then went home to later experiment so that i would feel accepted but as i experimented i learned a new feeling the feeling of greed,joy
17086,i cant feel any lust or anything just a need to be reassured shes amazing,joy
14216,i cant shake this feeling anymore like i know something terrible is going to happen to me,sadness
1491,i can not tell you how good this makes me feel im funny,surprise
25113,i don t have very many cookie cutters since i make cookies but once per year maybe twice if i m feeling benevolent,joy
62858,i finally admit im feeling sorry for myself img src http community,sadness
69768,i feel that when people try to promote positive body image it is at the expense of another type of body,joy
71328,i have myself fallen victim to the sheltering scheme in the homeschool world and am feeling so hopeless and lost right now this goes back to a href http www,sadness
75314,i just feel so disillusioned at the moment,sadness
30545,i felt i won an argument afterwards i felt myself feeling somewhat hostile somehow separated by a long distance from you,anger
50636,i feel like supporting other artists in a monetary way on these crowdsourcing sites is just one way to help do that,joy
118828,i was feeling adventurous yesterday that i decided to whip up something on my own,joy
23447,i love this i m feeling a romantic season coming on posted on wednesday th january,love
1394,the event which got me angry got also an aversion in me,anger
106105,i will wear these necklaces knowing that despite feeling so very heartbroken that i am very loved by a man who steals my heart over and over again,sadness
5869,i am feeling rather weepy and blue,sadness
53691,i feel so melancholy most of the time,sadness
114897,i used the zpg tools in a particular way while i slept and that feeling of misalignment resolved itself,joy
4103,i am dog tired of feeling hopeless when i have a savior that wants to give me hope,sadness
41718,i feel like i need to say at least something about the downsides of my day a series of very very unfortunate events today led me to sit in an empty bathtub for an hour listening to blondie,sadness
31203,i mumble and murmur as to what it means marvel that they exist feel uncomfortable ashamed to admit that i distrust the albino,fear
1440,i am feeling quite generous today with my work so here is an excerpt from one of my favorite stories that i have written,love
14072,i cant keep crying and feeling unimportant to someone,sadness
106062,i will talk to when i am feeling unloved or as if i m being taken for granted,sadness
23177,i feel like the cardinals have fucked me more times than any other team in picks this season,anger
6853,i am feeling much more energetic and happy,joy
22783,i do feel lucky,joy
9271,i could feel the poisoned hateful angry buildup leaving and it made me feel lighter,anger
53653,im feeling petty and mean right now so im going to say this,anger
15607,i feel like folks are unsure to annoint the hilltoppers as the best team in the sun belt even though they are,fear
38256,i left her session feeling a little offended a little uncomfortable and a lot convinced i need a radical change in my life,anger
8855,i feel for every person that is supporting me on this journey,love
37742,i feel happy for them,joy
29319,i feel together a heartless beast subject book guest jp max online site xanax those your fish in stay,anger
87194,i remember feeling so helpless years ago holding that child in my arms weeping waiting for his now grown brother and sister to get home from elementary school waiting to hear from friends and family in new york city that all was ok,sadness
